Fecha,Severidad del Problema,Problema,Empresa,RANCHO,Punto de rocío (ºC),Punto de rocío Maximo (°C),Hora de registro de velocidad máxima de viento,Viento (km/h),Ráfaga de viento (km/h),Temperatura Promedio (ºC),Humedad Promedio (%),ETO (mm),Joules Acumulados,Horas Frío Efectivas,Lluvia (mm),Horas luz
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Heliothis virescens (Gusano del Fruto),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Spodoptera exigua (Gusano del soldado),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Daño,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Daño,Thrips (Scirtothrips spp.),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Ácaros benéficos (Phytoselidae),Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Barrenador del tallo,Sino A,PALMAS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Bemisia spp. (Mosca blanca ),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Polyphagotarsonemus latus (Ácaro blanco),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Escarabajo colops (Collops spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Chinche pirata (Orius spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Chinche asesina (Reduviidae),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Crysopas (Crysoperlaspp.),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Catarina (Coccinellidea),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Chinche asesina (Reduviidae),Sino A,CEDROS,,,,,,,,,,,,
9/14/2020,Equilibrio,Thrips (Scirtothrips spp.),Sino A,CEDROS,,,,,,,,,,,,
